place,state,country,all_minimums_repealed,status,policy_change,scope,land_uses,reform_date,population,lat,long,url,reporter,summary
Adams County,CO,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",transit oriented,"commercial,other",,519572,39.8714085,-104.2701374,https://parkingreform.org/mandates-map/city_detail/AdamsCounty_CO.html,Samuel Deetz,"Within the TOD Transit Oriented Development District, on-street parking may count towards parking requirements and nonresidential uses under 2000 square feet are exempt from parking mandates. Housing for the elderly or for those with disabilities has a reduced requirement. Parking maximums also apply in the TOD District. County-wide, parking requirements may be reduced through the provision of motorcycle parking, EV chargers, or a TDM plan."
Adrian,MI,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,all uses,,20645,41.8975152,-84.0373054,https://parkingreform.org/mandates-map/city_detail/Adrian_MI.html,Samuel Deetz,The B-3 Central Business District is exempt from parking mandates. Parking maximums are set at 120% of the minimums.
Aiken,SC,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,32025,33.5598586,-81.721952,https://parkingreform.org/mandates-map/city_detail/Aiken_SC.html,Samuel Deetz,"Off-street parking is not required for uses located in the Central Business District of the DB Zone District. In addition, off-street parking is not required for religious institutions located in any Historic District listed on the Aiken Historic Register."
Aitkin,MN,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,2168,46.5333985,-93.7096936,https://parkingreform.org/mandates-map/city_detail/Aitkin_MN.html,Samuel Deetz,Commercial developments within the Downtown Mixed Use District are exempt from the parking requirements. Surface parking may not exceed 125% of the minimum parking requirements within the DMU District.
Akron,CO,United States,FALSE,implemented,remove parking minimums,citywide,"commercial,industrial,other,residential, low-density",,1757,40.1605374,-103.214384,https://parkingreform.org/mandates-map/city_detail/Akron_CO.html,Samuel Deetz,"Parking mandates only apply to apartments in the C Residence District, the E Industrial District, and to mobile homes."
Akron,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1558,42.8288056,-96.5579415,https://parkingreform.org/mandates-map/city_detail/Akron_IA.html,Samuel Deetz,The CBD Central Business District is exempt from minimum parking requirements.
Akron,OH,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,all uses,,197597,41.083064,-81.518485,https://parkingreform.org/mandates-map/city_detail/Akron_OH.html,Jason Segedy,Akron Ohio has no minimum requirements for parking for residential or commercial parking downtown.  Maximum allowed is one space per residence.
Akron,PA,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,,4169,40.1567616,-76.2021742,https://parkingreform.org/mandates-map/city_detail/Akron_PA.html,Samuel Deetz,Parking requirements may be reduced through the provision of motorcycle parking.
Alameda County,CA,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,1682353,37.5943781,-121.8885683,https://parkingreform.org/mandates-map/city_detail/AlamedaCounty_CA.html,Patrick Siegman,"The Ashland and Cherryland Business District Specific Plan regulates a 246-acre area along two major streets in unincorporated Alameda County. Within the plan area, there are no minimum parking requirements for restaurants and small retail establishments. In most zones within the plan area, there are also no minimum requirements for offices, “general commercial”, gas stations, car washes, and automobile sales, rental, and repair establishments. For land uses where minimum parking requirements still apply, the requirements are generally lower than the County’s standard requirements. The plan sets maximum parking requirements for most land uses. At many residential developments, the plan also requires the unbundling of parking costs and the provision of designated spaces for carshare cars."
Alameda,CA,United States,TRUE,implemented,"add parking maximums,remove parking minimums",citywide,all uses,2021-12-16,78280,37.7652076,-122.2416355,https://parkingreform.org/mandates-map/city_detail/Alameda_CA.html,John Knox White,"Effective 12/16/2021, Alameda has repealed parking requirements for all uses, citywide, and implemented maximums."
Albany,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2780,45.6299647,-94.5700048,https://parkingreform.org/mandates-map/city_detail/Albany_MN.html,Samuel Deetz,The C-1 Core Commercial District is exempt from minimum parking requirements.
Albany,NY,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums","city center / business district,citywide",all uses,,99224,42.6511674,-73.754968,https://parkingreform.org/mandates-map/city_detail/Albany_NY.html,Samuel Deetz,"Off-street vehicle parking is not required for any lot containing less than 5,000 square feet of gross site area or any property located within the Mixed-Use Downtown (MU-DT) District. Parking maximums apply to most uses. Parking reductions are available through the provision of frequent transit, on-street parking, a TDM plan or the payment of a fee-in-lieu of parking."
Albany,OR,United States,TRUE,implemented,"add parking maximums,remove parking minimums",citywide,all uses,2023-06-14,56472,44.6365071,-123.1059324,https://parkingreform.org/mandates-map/city_detail/Albany_OR.html,Tony Jordan,"On June 14, 2023  Albany, OR eliminated parking mandates citywide for all uses. Parking maximums apply to all uses. The reforms were instigated by Oregon's statewide reforms. "
Albany,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1096,42.7079729,-89.4368317,https://parkingreform.org/mandates-map/city_detail/Albany_WI.html,Samuel Deetz,Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.
Albemarle,NC,United States,FALSE,implemented,remove parking minimums,citywide,all uses,,16246,35.3501426,-80.2000578,https://parkingreform.org/mandates-map/city_detail/Albemarle_NC.html,Kevin Robinson,"Albemarle has no fixed parking ratios for nearly all uses other than: ADUs (one space required), selected home-based occupations (lawyers, physicians, dentists, and chiropractors), church tent uses, auction houses, and some light industrial uses.  "
Albert Lea,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,18492,43.6480127,-93.3682656,https://parkingreform.org/mandates-map/city_detail/AlbertLea_MN.html,Samuel Deetz,"Within the B-3 central business district, there is no requirement for off-street parking for properties located in parking maintenance district A, B or C. A description of the parking maintenance districts is filed in the office of the city clerk."
Alberton,MT,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,452,47.0023955,-114.477156,https://parkingreform.org/mandates-map/city_detail/Alberton_MT.html,Samuel Deetz,Permitted uses within the GC General Commercial District are exempt from minimum parking requirements. A change of use in any district is exempt.
Albion,MI,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,,7700,42.243097,-84.7530304,https://parkingreform.org/mandates-map/city_detail/Albion_MI.html,Samuel Deetz,Bike parking may substitute for automobile parking in parking lots with 25 or more spaces.
Albion,NE,United States,FALSE,implemented,reduce parking minimums,city center / business district,"commercial,other",,1699,41.6929347,-98.0012269,https://parkingreform.org/mandates-map/city_detail/Albion_NE.html,Samuel Deetz,"In the C-2 Downtown Commercial District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments. For Public Uses within a Residential District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments."
Albion,PA,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,1528,41.8906112,-80.3664542,https://parkingreform.org/mandates-map/city_detail/Albion_PA.html,Samuel Deetz,"On-street parking in the C-B, Central Business District may count towards parking requirements."
Albuquerque,NM,United States,FALSE,implemented,remove parking minimums,"city center / business district,transit oriented",all uses,,560513,35.0841034,-106.650985,https://parkingreform.org/mandates-map/city_detail/Albuquerque_NM.html,Carrie Barkhurst,Albuquerque New Mexico has eliminated off street parking requirements in the downtown and SU-1 Transit Oriented Development.  They have also reduced parking minimums in many other areas and had on street parking account for off street parking by different reduction rates in areas like transit oriented developments.
Alburtis,PA,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,2596,40.5114787,-75.6036993,https://parkingreform.org/mandates-map/city_detail/Alburtis_PA.html,Samuel Deetz,"Uses in the Commercial District, except for residential and lodging uses, may count on-street parking towards parking requirements."
Aledo,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,2015-07-20,3633,41.199665,-90.7484836,https://parkingreform.org/mandates-map/city_detail/Aledo_IL.html,Samuel Deetz,"No off street parking is required for buildings and uses located within the boundaries of the downtown area enclosed by NW/SW 3rd Avenue, SW/SE 4th Street, NE/SE 3rd Avenue, and NW/NE 2nd Street provided they are located within five hundred feet (500') of a public parking lot or an alternative parking plan is approved."
Alexandria,IN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5149,40.2628184,-85.675809,https://parkingreform.org/mandates-map/city_detail/Alexandria_IN.html,Samuel Deetz,The B-1 Business District is exempt from minimum parking requirements.
Alexandria,LA,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,45275,31.2909782,-92.4616292,https://parkingreform.org/mandates-map/city_detail/Alexandria_LA.html,Samuel Deetz,Off-street parking is not be required in the CBD district for commercial uses. Parking maximums are set at 110 percent of the minimums unless any parking above the 110 percent threshold is pervious or is provided through use of structured parking.
Alexandria,MN,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,13822,45.8860567,-95.3793539,https://parkingreform.org/mandates-map/city_detail/Alexandria_MN.html,Michael Weber,Parking mandates may be waived for existing buildings in the Central Business District.
Alexandria,VA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums","citywide,transit oriented",commercial,,159428,38.8051095,-77.0470229,https://parkingreform.org/mandates-map/city_detail/Alexandria_VA.html,,"Alexandria has established maximum parking requirements In some commercial land uses and reduced minimum requirements in 'enhanced transit areas'. 

Additional reductions may be applied to multi-family/affordable housing land uses if in proximity to transit. "
Algona,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5487,43.0699663,-94.233019,https://parkingreform.org/mandates-map/city_detail/Algona_IA.html,Samuel Deetz,The BGC—Central general business district is exempt from minimum parking requirements.
Alleman,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,423,41.8200591,-93.611251,https://parkingreform.org/mandates-map/city_detail/Alleman_IA.html,Samuel Deetz,Uses within the C-1 Commercial District are exempt from minimum parking requirements.
Allen Park,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,"commercial,residential, all uses",,28638,42.2595071,-83.2107671,https://parkingreform.org/mandates-map/city_detail/AllenPark_MI.html,Samuel Deetz,"Within the C-5 Central Business District, retail, personal service, professional service, and residential uses are exempt from parking mandates. Parking requirements are reduced within a special parking district along Park Avenue and Allen Road."
Allentown,PA,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,"commercial,residential, all uses",,125845,40.6022059,-75.4712794,https://parkingreform.org/mandates-map/city_detail/Allentown_PA.html,Craig Beavers,"Off-street parking is not required for uses within the B-2 Central Business District except for residential uses consisting of five or more dwelling units. In such cases, and in the case of urban transition multifamily development within the B-5 District, the required number of spaces is 1/2 of the normal requirement for dwelling units. Off-street parking is not required to be provided for nonresidential uses on properties in the B-1/R District fronting on North 7th Street having a nonresidential floor area of not more than 2,000 square feet. Citywide, parking requirements may be reduced by one space through the provision of bike parking."
Alliance,NE,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,8151,42.0971897,-102.8707145,https://parkingreform.org/mandates-map/city_detail/Alliance_NE.html,Samuel Deetz,The C-2 Central Business Zoning District is exempt from minimum parking requirements.
Allouez,WI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",citywide,all uses,,14026,44.4774269,-88.0163556,https://parkingreform.org/mandates-map/city_detail/Allouez_WI.html,Samuel Deetz,Nonresidential uses may not provide motor vehicle parking in excess of 125% of the minimum motor vehicle parking ratios. Parking requirements may be reduced through the provision of long-term bike parking or the availability of nearby public parking lots.
Alma,MI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,9488,43.37892,-84.659727,https://parkingreform.org/mandates-map/city_detail/Alma_MI.html,Samuel Deetz,"Within the B-1 central business district bounded by Downie Street, Pine Street, Center Street, and Wright Avenue and Lincoln Streets, a use may be exempt if certain conditions are met."
Alma,NE,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,1043,40.097511,-99.362043,https://parkingreform.org/mandates-map/city_detail/Alma_NE.html,Samuel Deetz,Off-street parking requirements are not applicable to any existing commercial use in the C-1 Central Business District.
Alma,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,698,44.3199654,-91.9148839,https://parkingreform.org/mandates-map/city_detail/Alma_WI.html,Samuel Deetz,Parking requirements do not apply in the B District bounded by Dairyland Street on the South and Sunset Drive - Riverview Drive on the North.
Alpena Charter Township,MI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",citywide,all uses,,9116,45.111283,-83.450563,https://parkingreform.org/mandates-map/city_detail/AlpenaCharterTownship_MI.html,Samuel Deetz,Parking requirements may be reduced through the provision of bike parking. Parking maximums are set at 150% of the minimums.
Alpena,MI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,"commercial,other,residential, all uses",,10197,45.062251,-83.433388,https://parkingreform.org/mandates-map/city_detail/Alpena_MI.html,Samuel Deetz,"Minimum parking requirements do not apply to commercial buildings in existence at the time of adoption of the parking ordinance or to new commercial uses where it can be demonstrated
that adequate public parking exists when located within the CBD. Parking minimums are not applicable to uses located in the CBD Central Business District or DOD Downtown Overlay District except where more than four dwelling units are constructed above a commercial use. 

For existing buildings within all Business Districts, no additional parking space need be provided when remodeling or rebuilding of structures is proposed, provided the floor area of existing structures on such site is not increased. Parking requirements may be reduced through the provision of bike parking. Parking maximums are set at 130% of the minimums citywide."
Alpha,IL,United States,FALSE,implemented,remove parking minimums,citywide,"industrial,other,residential, low-density",,675,41.1917031,-90.3801274,https://parkingreform.org/mandates-map/city_detail/Alpha_IL.html,Samuel Deetz,"Single-family dwellings are exempt from minimum parking requirements. The D Public and Semi-Public, the E Light Industrial, and the F Agricultural districts are also exempt."
Alta,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2087,42.6736893,-95.3039943,https://parkingreform.org/mandates-map/city_detail/Alta_IA.html,Samuel Deetz,The (C-1) Downtown Commercial District is exempt from minimum parking requirements.
Alton,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,25676,38.8908583,-90.1843091,https://parkingreform.org/mandates-map/city_detail/Alton_IL.html,Samuel Deetz,"Off street parking spaces are not required in the C-4, downtown commercial district, and MR, marina recreation district."
Altoona,IA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,19565,41.6437308,-93.4696031,https://parkingreform.org/mandates-map/city_detail/Altoona_IA.html,Samuel Deetz,"Within the C-4 Village Commercial District, the minimum parking requirements are also the maximum allowed. On-street parking spaces may be counted in parking requirements."
Altoona,PA,United States,FALSE,implemented,add parking maximums,citywide,"commercial,industrial,other,residential, all uses",,43963,40.518681,-78.394736,https://parkingreform.org/mandates-map/city_detail/Altoona_PA.html,Samuel Deetz,Parking maximums apply to most uses citywide.
Altoona,WI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,commercial,,8292,44.8046825,-91.4429355,https://parkingreform.org/mandates-map/city_detail/Altoona_WI.html,Samuel Deetz,"In Blocks 1, 2, 7, and 8 of the original plat of East Eau Claire, now City of Altoona, the minimum automobile parking requirement for commercial uses is fifty percent (50%) of the minimums set forth in the tables. Parking maximums exist for all uses citywide."
Altus,OK,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,18729,34.6381255,-99.3339754,https://parkingreform.org/mandates-map/city_detail/Altus_OK.html,Samuel Deetz,"Within the Urban Center (UC) District, on-street parking may count towards parking minimums."
Alva,OK,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5028,36.8030501,-98.6660278,https://parkingreform.org/mandates-map/city_detail/Alva_OK.html,Samuel Deetz,The CI Intensive Commercial District is exempt from parking mandates.
Amanda,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,637,39.649508,-82.7443367,https://parkingreform.org/mandates-map/city_detail/Amanda_OH.html,Samuel Deetz,The General Business District is exempt from parking mandates.
Amarillo,TX,United States,FALSE,implemented,remove parking minimums,city center / business district,"commercial,other",,200393,35.2072185,-101.833824,https://parkingreform.org/mandates-map/city_detail/Amarillo_TX.html,Samuel Deetz,Nonresidential uses in the CB Central Business District are exempt from minimum parking requirements.
Ambridge,PA,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,"commercial,other",,6972,40.5892339,-80.22506,https://parkingreform.org/mandates-map/city_detail/Ambridge_PA.html,Samuel Deetz,"Within the Community Business District (CBD), artisan/maker spaces, indoor recreational facilities, offices and retail uses are exempt from parking mandates. Parking maximums apply to certain uses in the CBD, Midtown District (MID) and Gateway South District (GWS)."
Ames,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,"commercial,industrial,other",,66427,42.0267567,-93.6170448,https://parkingreform.org/mandates-map/city_detail/Ames_IA.html,Samuel Deetz,"Within the Downtown and Campus Town Service Center Zones, parking requirements are eliminated for most uses, except for dwelling units, short term lodging uses, high schools and universities, and sports practice facilities."
Amherst,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,1125,44.4506775,-89.2845905,https://parkingreform.org/mandates-map/city_detail/Amherst_WI.html,Samuel Deetz,Commercial uses in the B-2 Central Business District are exempt from minimum parking requirements.
Anaconda-Deer Lodge County,MT,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,9421,46.1294685,-112.953131,https://parkingreform.org/mandates-map/city_detail/Anaconda-DeerLodgeCounty_MT.html,Samuel Deetz,"Except for lodging uses and residential uses, no off-street parking is required in the Central Business Development District/Main Street Overlay (CBDD/MSO). Parking maximums are set at 125% of the minimums citywide."
Anacortes,WA,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,,18089,48.5020123,-122.6237356,https://parkingreform.org/mandates-map/city_detail/Anacortes_WA.html,Scott Bonjukian,Anacortes reduced parking minimums for most uses and implemented discretionary review for other uses. New projects in downtown have an additional reduction of 50%
Anaheim,CA,United States,FALSE,implemented,remove parking minimums,citywide,"residential, low-density",,346824,33.8347516,-117.911732,https://parkingreform.org/mandates-map/city_detail/Anaheim_CA.html,Samuel Deetz,"ADUs are exempt from minimum parking requirements depending on transit proximity, number of bedrooms, and other factors. Two-family dwellings are exempt based on transit proximity and carshare availability."
Anamosa,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5450,42.1083371,-91.2851594,https://parkingreform.org/mandates-map/city_detail/Anamosa_IA.html,Samuel Deetz,No off-street parking is required in the C-1 Central Business Commercial District.
Anchorage,AK,United States,TRUE,implemented,remove parking minimums,citywide,all uses,2022-11-22,291247,61.2163129,-149.894852,https://parkingreform.org/mandates-map/city_detail/Anchorage_AK.html,Jamin Agosti,"Anchorage eliminated all parking minimums citywide on Nov 22, 2022, effective January 22, 2023 per AO 2022-80(S), as amended."
Anchorage,KY,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,"all uses,residential, all uses",,2500,38.2665993,-85.5330114,https://parkingreform.org/mandates-map/city_detail/Anchorage_KY.html,Samuel Deetz,"All uses in the C-3 Commercial District and residential uses in the
Central Business District are exempt from parking mandates. Small uses in the C-N District are eligible for a reduction of parking requirements."
Anderson,IN,United States,FALSE,implemented,remove parking minimums,citywide,all uses,,54788,40.1053196,-85.6802541,https://parkingreform.org/mandates-map/city_detail/Anderson_IN.html,Samuel Deetz,Parking requirements do not apply in a block where 50% or more of the area was occupied by business or industrial structures at the time of passage of the zoning code.
Angola,IN,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,9340,41.634874,-84.99928,https://parkingreform.org/mandates-map/city_detail/Angola_IN.html,Samuel Deetz,"Nonresidential uses in the DC Downtown Commercial District are exempt from minimum parking requirements. Maximum parking limits exist citywide, but may be exceeded with more landscaping."
Ankeny,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,67887,41.7320796,-93.605092,https://parkingreform.org/mandates-map/city_detail/Ankeny_IA.html,Samuel Deetz,The C-2A Central Business Commercial District is exempt from minimum parking requirements.
Ann Arbor,MI,United States,TRUE,implemented,"add parking maximums,remove parking minimums",citywide,all uses,2022-08-15,120735,42.2681569,-83.7312291,https://parkingreform.org/mandates-map/city_detail/AnnArbor_MI.html,Brad Wu,Ann Arbor has no car parking mandates for any land uses citywide.
Anna,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,4303,37.4603274,-89.2470282,https://parkingreform.org/mandates-map/city_detail/Anna_IL.html,Samuel Deetz,The B-1 Central Business District is exempt from minimum parking requirements.
Annandale,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,3763,45.2627428,-94.1244271,https://parkingreform.org/mandates-map/city_detail/Annandale_MN.html,Samuel Deetz,"Except for residential uses, the minimum amount of parking required does not apply within the C-1 District."
Annapolis,MD,United States,FALSE,implemented,remove parking minimums,"city center / business district,citywide","all uses,other,residential, low-density",,40812,38.9786401,-76.492786,https://parkingreform.org/mandates-map/city_detail/Annapolis_MD.html,Ted J Sheils,"Uses under 20,000 square feet in the C2 or C2A districts and under 15,000 square feet in the WMC District are exempt from parking mandates. Additionally, narrow lot single-family dwellings without alley access and uses that would otherwise require 3 spaces or less are exempt. There is a proposal from two city councilors to eliminate on-site parking requirements for all food establishments in all zones (restaurants, bars, deli's, clubs with food service, etc.) in the City of Annapolis. Annapolis previously reduced requirements for restaurants in West Annapolis."
Anne Arundel County,MD,United States,FALSE,implemented,reduce parking minimums,transit oriented,"residential, all uses",,588261,38.9722583,-76.573454,https://parkingreform.org/mandates-map/city_detail/AnneArundelCounty_MD.html,Samuel Deetz,Parking requirements are reduced for workforce housing near transit and may be further reduced for bike parking.
Anoka,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,17921,45.1977428,-93.3871758,https://parkingreform.org/mandates-map/city_detail/Anoka_MN.html,Samuel Deetz,The B-3 General Business District is exempt from minimum parking requirements.
Antigo,WI,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,"commercial,industrial,other",,8100,45.140245,-89.152335,https://parkingreform.org/mandates-map/city_detail/Antigo_WI.html,Samuel Deetz,"The total number of accessory parking spaces provided for a single-family, two-family or multiple-family dwelling may not exceed those required for such use or for an equivalent new use by more than 50 percent or four spaces, whichever number is greater.
When the application of the off-street parking regulations results in a requirement of not more than three spaces on a single zoning lot in any business district, such parking spaces need not be provided. However, where two or more uses are located on a single zoning lot, only one of these uses is eligible for this exemption. This exemption does not apply to dwelling units."
Antioch,IL,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,"commercial,residential, all uses",,14622,42.4767131,-88.0950691,https://parkingreform.org/mandates-map/city_detail/Antioch_IL.html,Samuel Deetz,"Small residential and business land uses within the Downtown Parking District (DPD) are exempt from the minimum parking requirements. Large commercial or office development with a gross floor area of ten thousand (10,000) square feet or more will have to provide the village with a parking plan, and it will be subject to village board review and approval. If parking is required of a particular use in the DPD, all on-street parking spaces within six hundred feet (600') of the proposed use and any parking spaces within municipal parking lots within six hundred feet (600') may be included in the calculation for the required number of off-street parking spaces. Commercial establishments within the DPD may not provide off-street parking spaces in a greater number than one hundred percent (100%) of the parking requirement for that establishment's land use."
Appleton,MN,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,1392,45.196906,-96.019767,https://parkingreform.org/mandates-map/city_detail/Appleton_MN.html,Samuel Deetz,"There are no minimum parking requirements for off-street customer parking in the Downtown Commercial District, however, parking for residential uses and employee parking is required."
Appleton,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,75644,44.2613967,-88.4069744,https://parkingreform.org/mandates-map/city_detail/Appleton_WI.html,Samuel Deetz,"Due to the primarily pedestrian orientation of the Central Business District (CBD), provision for off-street parking and loading spaces are not required for uses in the CBD."
Arcadia,LA,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,1960-08-02,2746,32.5489683,-92.9217754,https://parkingreform.org/mandates-map/city_detail/Arcadia_LA.html,Samuel Deetz,"Existing buildings as of August 2, 1960 are exempt from parking mandates."
Arcata,CA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,2013-12-06,18857,40.866517,-124.08284,https://parkingreform.org/mandates-map/city_detail/Arcata_CA.html,Colin Fiske,"No parking minimum for development in the Commercial Central zoning district, except for residential developments with more than 7 units. Parking Maximums are in place citywide, but are high enough that they do not impact development."
Archbald,PA,United States,FALSE,implemented,reduce parking minimums,"city center / business district,citywide","all uses,commercial",,7297,41.4948038,-75.5368521,https://parkingreform.org/mandates-map/city_detail/Archbald_PA.html,Samuel Deetz,Parking requirements in the C-1 District are reduced by 50% for commercial uses in existing buildings. Parking requirements may be reduced citywide through motorcycle parking.
Archbold,OH,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,4516,41.5211332,-84.3065469,https://parkingreform.org/mandates-map/city_detail/Archbold_OH.html,Samuel Deetz,"Parking requirements for personal services, restaurants, and retail sales are reduced by one-half if located in the CBD, Central Business District, ""Core"" subarea."
Arcola,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2927,39.684755,-88.3064367,https://parkingreform.org/mandates-map/city_detail/Arcola_IL.html,Samuel Deetz,No off-street parking is required in the B-1 General Commercial District.
Ardmore,OK,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,24725,34.1742611,-97.1436254,https://parkingreform.org/mandates-map/city_detail/Ardmore_OK.html,Samuel Deetz,No off-street parking or loading spaces are required in the CD Downtown Commercial District.
